id,loan_amnt,int_rate,sub_grade,emp_length,home_ownership,annual_inc,issue_d,loan_status,purpose,addr_state,dti,delinq_2yrs,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,total_pymnt,total_rec_prncp,total_rec_int,total_rec_late_fee,collections_12_mths_ex_med,mths_since_last_major_derog,acc_now_delinq,tot_coll_amt,tot_cur_bal,total_rev_hi_lim,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,disbursement_method,zip_code_prefix
37742142,2000.0,14.99,C5,8 years,RENT,32200.0,2014-12-01,Fully Paid,credit_card,NY,22.14,0.0,670.0,674.0,0.0,,95.0,10.0,1.0,9544.0,62.4,21.0,2101.52,2000.0,101.52,0.0,0.0,,0.0,0.0,20539.0,15300.0,6.0,2054.0,3636.0,72.2,0.0,0.0,219.0,8.0,4.0,0.0,8.0,14.0,,0.0,5.0,6.0,6.0,10.0,4.0,8.0,17.0,6.0,10.0,0.0,0.0,0.0,4.0,100.0,1.0,0.0,27300.0,20539.0,13100.0,12000.0,Cash,112
36520573,3000.0,10.49,B3,9 years,RENT,60000.0,2014-12-01,Fully Paid,medical,CA,9.54,0.0,680.0,684.0,0.0,77.0,,7.0,0.0,4936.0,42.6,18.0,3453.2606034890996,3000.0,453.26,0.0,0.0,,0.0,0.0,22809.0,11600.0,2.0,3258.0,552.0,85.8,0.0,0.0,138.0,27.0,3.0,0.0,27.0,,77.0,0.0,2.0,3.0,2.0,6.0,6.0,5.0,12.0,3.0,7.0,0.0,0.0,0.0,1.0,77.8,0.0,0.0,30454.0,22809.0,3900.0,18854.0,Cash,926
37854423,2000.0,15.99,D2,7 years,RENT,37000.0,2014-12-01,Fully Paid,other,AZ,16.19,2.0,700.0,704.0,1.0,5.0,,9.0,0.0,4533.0,20.1,22.0,2375.9500000048,2000.0,375.95,0.0,0.0,,0.0,0.0,19342.0,22500.0,6.0,2149.0,390.0,90.2,0.0,0.0,252.0,3.0,3.0,0.0,3.0,3.0,5.0,0.0,1.0,2.0,1.0,6.0,7.0,8.0,15.0,2.0,9.0,0.0,0.0,0.0,3.0,90.9,0.0,0.0,43137.0,19342.0,4000.0,20637.0,Cash,852
37822018,2000.0,14.31,C4,2 years,RENT,52000.0,2014-12-01,Fully Paid,other,FL,5.98,0.0,680.0,684.0,1.0,,,3.0,0.0,2227.0,74.2,8.0,2465.4221480163,2000.0,465.42,0.0,0.0,,0.0,0.0,3943.0,3000.0,3.0,1314.0,346.0,65.4,0.0,0.0,58.0,3.0,3.0,0.0,18.0,6.0,,0.0,1.0,2.0,1.0,1.0,5.0,2.0,3.0,2.0,3.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,6900.0,3943.0,1000.0,3900.0,Cash,329
37822020,1000.0,12.39,C1,3 years,OWN,60000.0,2014-12-01,Fully Paid,other,MN,18.38,0.0,705.0,709.0,1.0,,,17.0,0.0,9566.0,55.0,29.0,1139.7700000017,1000.0,139.77,0.0,0.0,,0.0,0.0,296389.0,17400.0,4.0,21171.0,112.0,98.0,0.0,0.0,155.0,5.0,5.0,1.0,102.0,5.0,,0.0,1.0,5.0,1.0,3.0,15.0,8.0,13.0,5.0,17.0,0.0,0.0,0.0,3.0,100.0,0.0,0.0,323433.0,151547.0,5500.0,154033.0,Cash,567
37740199,6000.0,14.99,C5,1 year,RENT,20000.0,2014-12-01,Fully Paid,debt_consolidation,CA,14.99,0.0,665.0,669.0,1.0,59.0,,11.0,0.0,6941.0,67.4,25.0,6849.32,6000.0,849.32,0.0,0.0,59.0,0.0,0.0,6941.0,10300.0,6.0,992.0,452.0,92.5,0.0,0.0,148.0,4.0,4.0,0.0,4.0,4.0,59.0,1.0,5.0,6.0,6.0,8.0,2.0,11.0,23.0,6.0,11.0,0.0,0.0,0.0,2.0,96.0,0.0,0.0,10300.0,6941.0,6000.0,0.0,Cash,960
36280613,18000.0,11.99,B5,8 years,OWN,70000.0,2014-12-01,Fully Paid,debt_consolidation,FL,9.11,0.0,710.0,714.0,0.0,57.0,,6.0,0.0,16644.0,52.3,13.0,21420.6443195008,18000.0,3420.64,0.0,0.0,,0.0,0.0,111500.0,31800.0,2.0,18583.0,15156.0,52.3,0.0,0.0,162.0,8.0,8.0,3.0,8.0,13.0,57.0,0.0,4.0,4.0,4.0,6.0,0.0,4.0,9.0,4.0,6.0,0.0,0.0,0.0,1.0,92.3,0.0,0.0,143527.0,23192.0,31800.0,0.0,Cash,333
36109709,2000.0,12.99,C2,,RENT,21312.0,2014-12-01,Fully Paid,medical,IN,5.46,0.0,710.0,714.0,1.0,,,14.0,0.0,744.0,1.9,20.0,2059.85,2000.0,59.85,0.0,0.0,,0.0,944.0,744.0,39600.0,3.0,57.0,31122.0,1.8,0.0,0.0,150.0,18.0,18.0,1.0,27.0,0.0,,0.0,3.0,4.0,10.0,12.0,2.0,14.0,17.0,4.0,14.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,39600.0,744.0,31700.0,0.0,Cash,463
37791988,10800.0,9.49,B2,8 years,MORTGAGE,42000.0,2014-12-01,Fully Paid,debt_consolidation,IN,18.89,0.0,675.0,679.0,1.0,,,19.0,0.0,10213.0,77.4,30.0,12379.6062211851,10800.0,1579.61,0.0,0.0,,0.0,0.0,125993.0,13200.0,10.0,6631.0,1049.0,89.2,0.0,0.0,90.0,30.0,1.0,3.0,30.0,0.0,,0.0,4.0,6.0,4.0,4.0,18.0,7.0,9.0,6.0,19.0,0.0,0.0,0.0,6.0,100.0,0.0,0.0,133940.0,57771.0,9700.0,47457.0,Cash,467
37822030,18450.0,14.31,C4,10+ years,MORTGAGE,108000.0,2014-12-01,Charged Off,home_improvement,CO,23.37,0.0,680.0,684.0,3.0,,,11.0,0.0,5925.0,87.0,20.0,9387.62,5481.7,2084.22,0.0,0.0,100.0,0.0,0.0,237795.0,6800.0,8.0,23779.0,1267.0,93.0,0.0,0.0,100.0,12.0,6.0,2.0,17.0,5.0,57.0,1.0,3.0,6.0,3.0,5.0,8.0,6.0,9.0,5.0,10.0,,0.0,0.0,3.0,85.0,0.0,0.0,256151.0,113801.0,3800.0,119491.0,Cash,810
37832099,4000.0,15.99,D2,9 years,RENT,50000.0,2014-12-01,Fully Paid,debt_consolidation,NY,33.99,0.0,665.0,669.0,1.0,49.0,,12.0,0.0,5697.0,65.5,23.0,4972.6647952131,4000.0,957.66,15.0,0.0,49.0,0.0,0.0,36589.0,8700.0,7.0,3049.0,321.0,93.0,0.0,0.0,153.0,12.0,6.0,0.0,33.0,3.0,49.0,1.0,3.0,5.0,3.0,5.0,12.0,8.0,10.0,5.0,12.0,0.0,0.0,0.0,3.0,91.3,0.0,0.0,62433.0,36589.0,4600.0,48555.0,Cash,114
37661949,5000.0,10.49,B3,4 years,MORTGAGE,52000.0,2014-12-01,Charged Off,debt_consolidation,AZ,14.35,0.0,660.0,664.0,2.0,,69.0,9.0,1.0,466.0,8.8,39.0,4100.83,3156.58,744.25,0.0,0.0,,0.0,841.0,103332.0,5300.0,5.0,11481.0,,,0.0,0.0,161.0,1.0,1.0,4.0,,4.0,,0.0,0.0,2.0,0.0,4.0,14.0,4.0,20.0,2.0,9.0,0.0,0.0,0.0,2.0,100.0,1.0,0.0,118035.0,103332.0,0.0,112735.0,Cash,853
37681488,9600.0,7.49,A4,7 years,MORTGAGE,42000.0,2014-12-01,Fully Paid,debt_consolidation,IL,11.51,0.0,715.0,719.0,1.0,,82.0,10.0,1.0,11564.0,30.9,22.0,10666.7051850189,9600.0,1066.71,0.0,0.0,,0.0,0.0,91133.0,37400.0,5.0,9113.0,7209.0,55.5,0.0,0.0,78.0,3.0,3.0,2.0,17.0,2.0,,0.0,2.0,4.0,2.0,2.0,13.0,7.0,7.0,4.0,10.0,0.0,0.0,0.0,3.0,100.0,1.0,0.0,121783.0,23595.0,16200.0,14507.0,Cash,629
37742002,3625.0,16.49,D3,< 1 year,MORTGAGE,75000.0,2014-12-01,Fully Paid,debt_consolidation,NC,17.71,0.0,710.0,714.0,0.0,,,6.0,0.0,1059.0,81.5,12.0,3835.45,3625.0,210.45,0.0,0.0,,0.0,0.0,51161.0,1300.0,3.0,8527.0,241.0,69.9,0.0,0.0,143.0,86.0,3.0,2.0,93.0,,,0.0,2.0,3.0,2.0,2.0,7.0,3.0,3.0,3.0,6.0,0.0,0.0,0.0,3.0,100.0,0.0,0.0,59801.0,51161.0,800.0,58501.0,Cash,273
37631679,15000.0,10.49,B3,10+ years,MORTGAGE,84000.0,2014-12-01,Fully Paid,credit_card,AL,19.73,0.0,690.0,694.0,2.0,,96.0,10.0,1.0,4590.0,69.5,77.0,17156.8000047472,15000.0,2156.8,0.0,0.0,,0.0,0.0,80333.0,6600.0,12.0,8926.0,,,0.0,0.0,127.0,14.0,1.0,1.0,,1.0,,0.0,0.0,2.0,0.0,9.0,59.0,4.0,17.0,2.0,10.0,0.0,0.0,0.0,5.0,100.0,1.0,0.0,119505.0,46198.0,0.0,47305.0,Cash,363
37631992,21000.0,8.67,B1,10+ years,OWN,120000.0,2014-12-01,Fully Paid,debt_consolidation,CA,19.21,0.0,685.0,689.0,1.0,40.0,,5.0,0.0,6131.0,94.3,14.0,23747.8331942169,21000.0,2747.83,0.0,0.0,40.0,0.0,0.0,428849.0,6500.0,3.0,85770.0,369.0,94.3,0.0,0.0,163.0,49.0,3.0,2.0,49.0,3.0,61.0,3.0,1.0,1.0,1.0,3.0,8.0,1.0,4.0,1.0,5.0,0.0,0.0,0.0,3.0,76.9,0.0,0.0,447456.0,38929.0,6500.0,49956.0,Cash,958
37681595,8000.0,12.39,C1,8 years,RENT,70000.0,2014-12-01,Fully Paid,debt_consolidation,CT,11.91,0.0,700.0,704.0,0.0,,,6.0,0.0,10709.0,99.2,10.0,9617.1862503761,8000.0,1617.19,0.0,0.0,,0.0,0.0,355328.0,10800.0,3.0,59221.0,91.0,99.2,0.0,0.0,89.0,14.0,14.0,1.0,14.0,15.0,,0.0,3.0,3.0,3.0,3.0,6.0,3.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,371960.0,32747.0,10800.0,28301.0,Cash,064
37791982,5675.0,12.39,C1,2 years,RENT,50000.0,2014-12-01,Fully Paid,car,CO,15.55,1.0,695.0,699.0,0.0,12.0,,7.0,0.0,2916.0,15.0,15.0,6705.035447361701,5675.0,1030.04,0.0,0.0,,0.0,259.0,18002.0,19500.0,3.0,3000.0,12984.0,18.3,0.0,0.0,273.0,20.0,6.0,0.0,40.0,,12.0,0.0,2.0,2.0,3.0,3.0,2.0,5.0,13.0,2.0,7.0,0.0,0.0,0.0,1.0,86.7,0.0,0.0,41440.0,18002.0,15900.0,21940.0,Cash,802
37651933,6825.0,15.99,D2,1 year,RENT,19000.0,2014-12-01,Fully Paid,debt_consolidation,FL,26.06,0.0,730.0,734.0,0.0,,,7.0,0.0,5514.0,26.3,9.0,6881.32,6825.0,56.32,0.0,0.0,,0.0,0.0,15894.0,21000.0,3.0,2271.0,13074.0,27.4,0.0,0.0,45.0,9.0,4.0,0.0,9.0,4.0,,0.0,2.0,3.0,4.0,5.0,1.0,6.0,8.0,3.0,7.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,41128.0,15894.0,18000.0,20128.0,Cash,328
37742008,3000.0,8.19,A5,10+ years,MORTGAGE,85000.0,2014-12-01,Fully Paid,debt_consolidation,KS,11.97,0.0,680.0,684.0,0.0,63.0,,5.0,0.0,11873.0,79.2,19.0,3071.13,3000.0,71.13,0.0,0.0,63.0,0.0,0.0,128450.0,15000.0,2.0,32113.0,3127.0,79.2,0.0,0.0,145.0,43.0,7.0,3.0,109.0,7.0,63.0,1.0,1.0,1.0,1.0,6.0,6.0,2.0,10.0,1.0,5.0,0.0,0.0,0.0,1.0,94.7,0.0,0.0,149476.0,36611.0,15000.0,28856.0,Cash,670
10089665,8000.0,10.49,B3,3 years,MORTGAGE,94000.0,2014-12-01,Fully Paid,debt_consolidation,AL,22.33,0.0,695.0,699.0,2.0,,,24.0,0.0,32776.0,43.9,58.0,8525.76,8000.0,525.76,0.0,0.0,,0.0,0.0,256696.0,74700.0,11.0,11668.0,12118.0,68.3,0.0,0.0,237.0,2.0,2.0,6.0,12.0,2.0,,0.0,5.0,8.0,8.0,15.0,18.0,17.0,34.0,8.0,24.0,0.0,0.0,0.0,4.0,100.0,0.0,0.0,323167.0,79549.0,38200.0,63467.0,Cash,358
37802003,5000.0,12.99,C2,10+ years,RENT,95000.0,2014-12-01,Fully Paid,house,NY,20.21,0.0,670.0,674.0,0.0,35.0,,7.0,0.0,12083.0,92.9,24.0,6041.2349010401,5000.0,1041.23,0.0,0.0,,0.0,0.0,46563.0,13000.0,2.0,6652.0,914.0,92.7,0.0,0.0,189.0,51.0,1.0,1.0,74.0,,35.0,0.0,3.0,4.0,3.0,8.0,12.0,4.0,11.0,4.0,7.0,0.0,0.0,0.0,2.0,95.8,0.0,0.0,59173.0,46563.0,12500.0,46173.0,Cash,130
37661932,4200.0,6.99,A3,10+ years,MORTGAGE,55000.0,2014-12-01,Fully Paid,debt_consolidation,MN,21.3,0.0,775.0,779.0,0.0,,,12.0,0.0,5268.0,33.1,18.0,4588.9100014933,4200.0,388.91,0.0,0.0,,0.0,0.0,59352.0,15900.0,3.0,4946.0,1222.0,49.1,0.0,0.0,153.0,18.0,6.0,1.0,36.0,18.0,,0.0,1.0,6.0,2.0,2.0,5.0,8.0,12.0,6.0,12.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,113062.0,37031.0,2400.0,47162.0,Cash,560
37711991,14000.0,16.49,D3,9 years,RENT,45000.0,2014-12-01,Charged Off,credit_card,FL,13.47,0.0,660.0,664.0,1.0,,,20.0,0.0,10585.0,39.9,22.0,2955.08,303.22,173.14,0.0,0.0,,0.0,0.0,15659.0,26500.0,14.0,783.0,8970.0,48.4,0.0,0.0,76.0,1.0,1.0,0.0,1.0,4.0,,0.0,4.0,7.0,9.0,9.0,1.0,19.0,21.0,7.0,20.0,0.0,0.0,0.0,3.0,100.0,0.0,0.0,32225.0,15659.0,17400.0,5725.0,Cash,331
37702003,2400.0,14.31,C4,7 years,OWN,35000.0,2014-12-01,Fully Paid,other,NC,24.45,1.0,665.0,669.0,0.0,19.0,47.0,8.0,1.0,7467.0,46.1,15.0,2418.13,2400.0,18.13,0.0,0.0,,0.0,351.0,18342.0,16200.0,1.0,2293.0,1074.0,73.1,0.0,0.0,91.0,6.0,6.0,0.0,6.0,3.0,19.0,0.0,2.0,5.0,3.0,3.0,4.0,7.0,11.0,5.0,8.0,0.0,0.0,0.0,1.0,80.0,0.0,1.0,35172.0,18342.0,4000.0,18972.0,Cash,283
37641966,18000.0,11.44,B4,2 years,OWN,45000.0,2014-12-01,Fully Paid,credit_card,PA,8.54,0.0,670.0,674.0,0.0,28.0,,18.0,0.0,10399.0,82.5,26.0,18707.1,18000.0,707.1,0.0,0.0,,0.0,0.0,69669.0,12600.0,6.0,3871.0,741.0,91.3,0.0,0.0,100.0,15.0,11.0,0.0,15.0,19.0,28.0,0.0,2.0,3.0,2.0,2.0,21.0,4.0,5.0,3.0,18.0,0.0,0.0,0.0,1.0,96.2,0.0,0.0,66350.0,69669.0,8500.0,53750.0,Cash,196
37661950,24000.0,11.44,B4,10+ years,MORTGAGE,80000.0,2014-12-01,Fully Paid,credit_card,FL,26.2,0.0,685.0,689.0,1.0,41.0,,22.0,0.0,44074.0,61.6,44.0,27344.624343415697,24000.0,3344.62,0.0,0.0,,0.0,0.0,58232.0,71500.0,7.0,3065.0,18202.0,61.0,0.0,0.0,222.0,1.0,1.0,2.0,21.0,1.0,42.0,0.0,4.0,11.0,6.0,7.0,10.0,20.0,32.0,11.0,22.0,0.0,0.0,0.0,2.0,93.0,0.0,0.0,89212.0,58232.0,46700.0,17712.0,Cash,324
37661936,20000.0,11.99,B5,10+ years,MORTGAGE,100000.0,2014-12-01,Fully Paid,credit_card,GA,24.7,0.0,740.0,744.0,0.0,33.0,,5.0,0.0,7698.0,90.6,26.0,22292.87,20000.0,2292.87,0.0,0.0,,0.0,0.0,296631.0,10000.0,1.0,59326.0,802.0,90.6,0.0,0.0,304.0,11.0,11.0,2.0,11.0,13.0,38.0,0.0,1.0,1.0,1.0,10.0,10.0,2.0,14.0,1.0,5.0,0.0,0.0,0.0,1.0,80.0,0.0,0.0,331800.0,127627.0,8500.0,129708.0,Cash,300
37791995,4500.0,14.99,C5,4 years,OWN,34000.0,2014-12-01,Charged Off,major_purchase,MD,28.77,0.0,660.0,664.0,1.0,25.0,54.0,18.0,1.0,12506.0,45.0,51.0,1610.16,1055.67,524.49,30.0,0.0,25.0,0.0,5098.0,24481.0,27800.0,6.0,1440.0,890.0,90.1,0.0,0.0,214.0,8.0,3.0,0.0,8.0,3.0,63.0,8.0,2.0,7.0,2.0,20.0,4.0,17.0,45.0,7.0,18.0,0.0,0.0,0.0,2.0,82.0,0.0,0.0,40239.0,24481.0,9000.0,12439.0,Cash,210
37612144,5000.0,14.99,C5,4 years,RENT,32000.0,2014-12-01,Fully Paid,debt_consolidation,NJ,38.86,0.0,670.0,674.0,1.0,,,17.0,0.0,9797.0,94.2,20.0,5233.27,5000.0,233.27,0.0,0.0,,0.0,0.0,53901.0,10400.0,5.0,3171.0,403.0,95.4,0.0,0.0,47.0,15.0,14.0,0.0,15.0,1.0,,0.0,3.0,4.0,3.0,3.0,14.0,4.0,6.0,4.0,17.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,71715.0,53901.0,8800.0,61315.0,Cash,076
37610751,10000.0,14.99,C5,5 years,MORTGAGE,75000.0,2014-12-01,Fully Paid,credit_card,KY,19.33,0.0,690.0,694.0,4.0,,,14.0,0.0,27644.0,88.0,59.0,11434.0,10000.0,1434.0,0.0,0.0,,0.0,0.0,255284.0,31400.0,5.0,18235.0,1906.0,92.8,0.0,0.0,254.0,3.0,3.0,3.0,3.0,1.0,,0.0,6.0,8.0,7.0,10.0,37.0,10.0,18.0,8.0,14.0,0.0,0.0,0.0,5.0,100.0,0.0,0.0,266634.0,163130.0,26400.0,136117.0,Cash,402
37831998,8750.0,21.99,E5,8 years,MORTGAGE,81200.0,2014-12-01,Fully Paid,moving,HI,29.38,0.0,680.0,684.0,2.0,,,12.0,0.0,31362.0,75.9,37.0,11248.6895492904,8750.0,2498.69,0.0,0.0,,0.0,0.0,625455.0,41300.0,10.0,52121.0,4190.0,87.7,0.0,0.0,158.0,3.0,2.0,5.0,5.0,3.0,,0.0,4.0,6.0,5.0,12.0,12.0,8.0,20.0,6.0,12.0,0.0,0.0,0.0,8.0,100.0,0.0,0.0,659564.0,90287.0,34000.0,61464.0,Cash,967
37612112,6000.0,11.99,B5,2 years,RENT,42000.0,2014-12-01,Fully Paid,debt_consolidation,TX,11.03,0.0,695.0,699.0,2.0,26.0,,17.0,0.0,12056.0,50.7,25.0,6673.91,6000.0,673.91,0.0,0.0,,0.0,0.0,94814.0,23800.0,1.0,5577.0,10144.0,54.3,0.0,0.0,117.0,5.0,5.0,0.0,41.0,2.0,26.0,0.0,2.0,2.0,4.0,9.0,12.0,6.0,13.0,2.0,17.0,0.0,0.0,0.0,1.0,92.0,0.0,0.0,105705.0,94814.0,22200.0,81905.0,Cash,787
37761127,2400.0,8.19,A5,5 years,RENT,42500.0,2014-12-01,Fully Paid,debt_consolidation,VA,33.21,0.0,765.0,769.0,0.0,,,10.0,0.0,19059.0,46.0,41.0,2515.72,2400.0,115.72,0.0,0.0,,0.0,0.0,66967.0,41400.0,5.0,6697.0,13248.0,55.8,0.0,0.0,271.0,5.0,5.0,0.0,48.0,13.0,,0.0,2.0,4.0,2.0,6.0,25.0,6.0,16.0,4.0,10.0,0.0,0.0,0.0,3.0,100.0,0.0,0.0,104165.0,66967.0,30000.0,62765.0,Cash,232
